0.08 s: rec : 1909.184 , 2520.316 , 1112.263 , 2026.500 , 1762.842 , 3599.342 , 3408.500 , 1373.605 , 1693.053 , 
0.141 s: rec : 1880.200 , 2471.771 , 1072.600 , 1975.286 , 1872.657 , 3388.314 , 3617.143 , 1200.657 , 1584.600 , 
0.203 s: rec : 1876.455 , 2465.394 , 981.667 , 1956.667 , 1871.818 , 2865.424 , 3723.455 , 1168.515 , 1496.818 , 
0.266 s: rec : 1804.941 , 2511.588 , 932.912 , 1939.471 , 1854.382 , 2770.677 , 3822.088 , 1160.206 , 1383.206 , 
0.33 s: rec : 1636.393 , 2486.678 , 932.571 , 1843.964 , 1874.429 , 2765.643 , 3835.750 , 1159.857 , 1190.143 , 
0.394 s: rec : 1236.882 , 2490.412 , 952.471 , 1820.029 , 1892.294 , 2790.088 , 3857.912 , 1182.706 , 1209.235 , 
0.456 s: rec : 1212.455 , 2461.242 , 938.515 , 1784.788 , 1865.515 , 2763.545 , 3833.970 , 1167.182 , 1190.727 , 
0.518 s: rec : 1203.333 , 2193.485 , 935.758 , 1776.788 , 1863.151 , 2751.879 , 3719.939 , 1163.151 , 1182.303 , 
0.58 s: rec : 1838.618 , 2432.529 , 1065.618 , 1947.559 , 1693.823 , 3458.588 , 3274.559 , 1326.941 , 1637.088 , 
0.644 s: rec : 1853.196 , 2428.283 , 1059.130 , 1937.370 , 1814.543 , 3357.543 , 3550.804 , 1185.152 , 1617.609 , 
0.708 s: rec : 1900.132 , 2478.342 , 979.789 , 1934.921 , 1824.447 , 2887.947 , 3606.158 , 1163.105 , 1490.895 , 
0.77 s: rec : 1775.368 , 2563.263 , 931.711 , 1934.921 , 1859.868 , 2763.895 , 3794.263 , 1158.474 , 1427.184 , 
0.832 s: rec : 1645.156 , 2563.219 , 934.562 , 1852.062 , 1920.156 , 2756.062 , 3813.469 , 1160.750 , 1189.594 , 
0.896 s: rec : 1292.429 , 2616.143 , 1008.857 , 1909.429 , 2029.000 , 2885.428 , 3934.572 , 1250.571 , 1276.286 , 
0.959 s: rec : 1188.886 , 2444.057 , 924.143 , 1761.657 , 1843.629 , 2727.971 , 3740.114 , 1149.086 , 1169.457 , 
1.021 s: rec : 1187.969 , 2171.469 , 925.938 , 1762.438 , 1835.250 , 2727.281 , 3690.750 , 1151.719 , 1168.750 , 
1.084 s: rec : 1903.767 , 2349.256 , 1152.837 , 2079.000 , 1667.116 , 3465.791 , 3288.023 , 1396.186 , 1652.070 , 
1.146 s: rec : 1932.697 , 2569.000 , 1146.333 , 2095.970 , 1838.606 , 3249.303 , 3424.212 , 1162.909 , 1722.515 , 
1.208 s: rec : 1936.756 , 2583.683 , 1041.244 , 2102.585 , 1935.902 , 2857.268 , 3681.049 , 1157.707 , 1637.610 , 
1.269 s: rec : 1751.920 , 2605.840 , 934.720 , 2041.960 , 1948.240 , 2766.320 , 3818.320 , 1160.600 , 1415.760 , 
1.331 s: rec : 1609.930 , 2618.930 , 929.814 , 1942.000 , 1953.372 , 2753.581 , 3862.302 , 1156.651 , 1184.558 , 
1.392 s: rec : 1204.750 , 2622.938 , 931.781 , 1847.656 , 1965.844 , 2751.125 , 3879.906 , 1158.469 , 1186.125 , 
1.453 s: rec : 1201.903 , 2612.742 , 935.871 , 1786.774 , 1985.419 , 2755.355 , 3819.064 , 1163.581 , 1188.645 , 
1.514 s: rec : 1193.316 , 2190.447 , 928.526 , 1778.211 , 1981.158 , 2746.395 , 3685.158 , 1157.289 , 1181.395 , 
1.576 s: rec : 1665.237 , 2442.395 , 1185.342 , 2094.316 , 1656.316 , 3324.684 , 3257.316 , 1454.500 , 1824.974 , 
1.639 s: rec : 1695.250 , 2509.188 , 1162.531 , 2107.906 , 1836.312 , 3173.844 , 3494.906 , 1167.594 , 1836.000 , 
1.7 s: rec : 1718.242 , 2749.545 , 1120.394 , 2133.879 , 1965.303 , 2860.121 , 3649.727 , 1179.303 , 1729.394 , 
1.761 s: rec : 1759.222 , 2836.481 , 990.407 , 2192.926 , 2157.519 , 2834.815 , 3738.741 , 1221.185 , 1511.889 , 
1.823 s: rec : 1489.971 , 2777.743 , 934.857 , 2113.400 , 2099.600 , 2740.714 , 3666.829 , 1158.600 , 1191.714 , 
1.885 s: rec : 1204.618 , 2718.677 , 936.029 , 1938.471 , 2110.853 , 2740.235 , 3667.206 , 1160.559 , 1189.971 , 
1.948 s: rec : 1214.917 , 2628.667 , 958.167 , 1814.667 , 2154.333 , 2783.917 , 3707.500 , 1186.250 , 1213.750 , 
2.011 s: rec : 1264.919 , 2298.865 , 1010.108 , 1883.486 , 2226.459 , 2870.513 , 3649.730 , 1246.162 , 1273.919 , 
2.075 s: rec : 1678.341 , 2353.488 , 1290.415 , 2237.854 , 1735.610 , 3178.707 , 3208.439 , 1374.317 , 1902.537 , 
